area,value
Campus West,1880
Waldronville,1340
Green Island,2390
Port Chalmers,1460
Royal Terrace,1850
Arthur Street,1590
Opoho,1290
Campus North,2750
Campus South,2210
Mornington,2920
Dunedin Central,2130
Maryhill,2370
Ravensbourne-St Leonards,1950
Harbourside,50
Fernhill,1710
Otago Peninsula,880
Concord,1560
Calton Hill,1540
Caversham,2330
Hillside-Portsmouth Drive,100
Kew (Dunedin city),1790
Corstorphine,1950
Forbury,1370
Bathgate Park,2500
St Clair,2440
Waverley,2740
Macandrew Bay-Company Bay,1620
Broad Bay-Portobello,1190
St Kilda South,3060
Musselburgh,1580
Shiel Hill,1760
St Kilda North,2610
Andersons Bay,2450
Tainui,2040
West Otago,2330
Tuapeka,1180
Clinton,1270
Clutha Valley,1660
Bruce,2290
Catlins,1320
Milton,2200
Balclutha South,2570
Balclutha North,1620
Benhar-Stirling,480
Kaitangata-Matau,1120
Inlet Catlins,0
Fiordland,120
Inlets Fiordland,10
Inland water Lake Te Anau,0
Mararoa,810
Inland water Lake Manapouri,0
Te Anau,2630
Whitestone,630
Mossburn,1260
Inland water Lake Hauroko,0
Longwood Forest,2060
Ohai-Nightcaps,1520
Riversdale-Piano Flat,1420
Lumsden-Balfour,1370
Oreti River,2160
Otautau,2910
Hedgehope,1200
Winton,2400
Waianiwa,1220
Riverton,1680
Wallacetown,1210
Grove Bush,1200
Edendale-Woodlands,2340
Inlets other Southland district,0
Stewart Island,420
Awarua Plains,1060
Wyndham-Catlins,2250
Waikaka,1600
Waimumu-Kaiwera,1340
Gore North,1760
Gore West,2780
East Gore,1500
Gore Central,190
Gore Main,1270
Gore South,640
Mataura,1700
West Plains-Makarewa,1640
Prestonville-Grasmere,3800
Donovan Park,2510
Myross Bush,1160
Otatara,3220
Invercargill Central,1440
Gladstone (Invercargill city),2450
Rosedale,1920
Avenal,1310
Hargest,2140
Windsor,3230
Richmond (Invercargill city),3590
Glengarry,2710
Inlet New River Estuary,0
Turnbull Thompson Park,1830
Crinan,1820
Georgetown,2120
Kew (Invercargill city),2030
Kennington-Tisbury,1490
Newfield,2850
Strathern,2270
Elizabeth Park,1310
Aurora,1380
Moulson,1320
Kingswell,2290
Clifton,1550
Woodend-Greenhills,610
Inlet Bluff Harbour,0
Bluff,1840
Oceanic West Coast Region,0
Oceanic Nelson Region,0
Oceanic Marlborough Region,0
Oceanic Southland Region,0
Oceanic Canterbury Region,0
Oceanic Otago Region,0
New Zealand Economic Zone,0
Oceanic Kermadec Islands,0
Kermadec Islands,0
Oceanic Oil Rig Taranaki,0
Oceanic Campbell Island,0
Campbell Island,0
Oceanic Oil Rig Southland,0
Oceanic Auckland Islands,0
Auckland Islands,0
Oceanic Bounty Islands,0
Bounty Islands,0
Oceanic Snares Islands,0
Snares Islands,0
Oceanic Antipodes Islands,0
Antipodes Islands,0
Ross Dependency,0
Hillsborough North (Auckland),3960
Hillsborough West (Auckland),3800
Greenlane North,4640
Waikowhai North,3620
Remuera East,2840
Waikowhai South,2160
Royal Oak West (Auckland),2620
Saint Heliers West,3630
One Tree Hill,4720
Hillsborough East (Auckland),2550
Saint Heliers North,4080
Remuera Abbotts Park,3970
Meadowbank East,2690
Ellerslie Central,3430
Royal Oak East (Auckland),3000
Saint Heliers South,4210
Hillsborough South (Auckland),2890
Saint Johns West,3190
Greenlane South,3810
Remuera Waiatarua,2470
Glendowie North,4530
Onehunga West,4000
Ellerslie West,170
Onehunga North,4000
Ellerslie East,3290
Saint Johns East,3010
Oneroa West,1490
Glen Innes West,4650
Ellerslie South,2720
Stonefields West,2050
Onehunga Central,3420
Glendowie South,4620
Oranga,3360
Honikiwi,1650
Te Kawa,1260
Otorohanga,3150
Maihiihi,1890
Puniu,1550
Tirau,2390
Putaruru Rural,2450
Putaruru,4450
Kinleith,1500
Paraonui,1880
Parkdale,870
Matarawa,2230
Stanley Park,2320
Strathmore (South Waikato district),2490
Tokoroa Central,1070
Moananui,3160
Inlet Waitomo district,0
Herangi,1030
Waikuku,1680
Mandeville-Ohoka,3330
Rangiora South East,2230
Southbrook,800
Swannanoa-Eyreton,990
Tuahiwi,980
Woodend,2860
Pegasus,2770
Clarkville,1440
Pegasus Bay,1080
Kaiapoi North West,2140
Silverstream (Waimakariri district),860
Sovereign Palms,3530
Kaiapoi West,1280
Kaiapoi Central,2220
Kaiapoi South,1880
Kaiapoi East,280
McLeans Island,210
Paparua,1020
Yaldhurst,1660
Christchurch Airport,180
Clearwater,730
Belfast West,1970
Harewood,1430
Brooklands-Spencerville,760
Styx,1110
Belfast East,2400
Northwood,3700
Russley,1010
Regents Park,1200
Hawthornden,2600
Bishopdale North,4350
Casebrook,4210
Bishopdale West,2980
Templeton,1840
Islington,1010
Burnside Park,3380
Marshland,820
Avonhead North,1470
Redwood North,2860
Broomfield,2680
Redwood West,2270
Avonhead West,1900
Bishopdale South,2330
Islington-Hornby Industrial,360
Burnside,3650
Hei Hei,3620
Papanui North,2040
Avonhead East,2910
Redwood East,3310
Avonhead South,3370
Riccarton Racecourse,1250
Bryndwr North,3540
Northlands (Christchurch city),130
Papanui West,3010
Ilam North,3900
Hornby West,2590
Hornby Central,140
Northcote (Christchurch city),2730
Jellie Park,3140
Ilam South,3390
Bryndwr South,3000
Papanui East,2440
Sockburn North,4230
Hornby South,4640
Ilam University,2670
Prestons,3130
Strowan,3600
Fendalton,2060
Waitikiri,2790
Mairehau North,3220
Bush Inn,3290
Awatea North,2630
Upper Riccarton,1830
Malvern,2680
Rutland,3000
Sockburn South,400
Deans Bush,2600
Wigram North,660
Holmwood,2200
Wharenui,2920
Wigram West,1510
Awatea South,1090
Merivale,3030
Mairehau South,3890
Mona Vale,1410
Riccarton West,3560
Shirley West,4310
Middleton,200
Wigram South,1410
Queenspark,3580
St Albans North,2230
St Albans West,2670
Travis Wetlands,2450
Wigram East,830
Riccarton Central,50
Oaklands West,2600
Riccarton South,3740
Halswell West,3760
Shirley East,2750
Broken Run,600
St Albans East,3140
Hagley Park,50
Hillmorton,2920
Parklands,4150
Riccarton East,1160
Edgeware,4370
Aidanfield,4050
Tower Junction,120
Burwood,3360
Christchurch Central-West,1010
Christchurch Central-North,2520
Richmond North (Christchurch city),2390
Waimairi Beach,1340
Addington West,2540
Otakaro-Avon River Corridor,110
Oaklands East,3450
Addington North,10
Dallington,2430
Christchurch Central,110
Hoon Hay West,3350
Richmond South (Christchurch city),2110
Spreydon West,3200
Christchurch Central-East,2070
Christchurch Central-South,600
North Beach,4210
Halswell North,2110
Addington East,3060
Avondale (Christchurch city),2450
Spreydon North,3940
Hoon Hay East,3320
Avonside,1740
Linwood West,5250
Halswell South,2570
Sydenham Central,150
Spreydon South,2430
Rawhiti,2860
Wainoni,2900
Linwood North,2830
Aranui,4380
Sydenham West,1360
Lancaster Park,260
Phillipstown,4240
Kennedys Bush,920
Somerfield East,3830
Somerfield West,3130
Linwood East,2210
Sydenham North,2110
Hoon Hay South,2240
Charleston (Christchurch city),1480
Sydenham South,2900
Bexley,2640
Waltham,2030
Westmorland,2250
Woolston North,3540
New Brighton,3450
Cashmere West,3150
Bromley South,3030
Ensors,2390
Beckenham,2480
Bromley North,60
St Martins,2800
Opawa,1390
Woolston West,1260
Woolston East,3330
Huntsbury,2320
Cashmere East,3490
Hillsborough (Christchurch city),2450
Woolston South,530
Port Hills,70
South New Brighton,3330
Brookhaven-Ferrymead,1110
Heathcote Valley,2290
Mount Pleasant,3670
Redcliffs,2020
Governors Bay,910
Inlets other Christchurch city,0
Clifton Hill,1700
Lyttelton,3100
Inlet Port Lyttelton,0
Sumner,3670
Teddington,240
Diamond Harbour,1530
Inland water Lake Ellesmere/Te Waihora South,0
Banks Peninsula South,1210
Eastern Bays-Banks Peninsula,640
Akaroa Harbour,740
Inlet Akaroa Harbour,0
Akaroa,770
Craigieburn,170
Torlesse,1210
Glenroy-Hororata,1250
Glentunnel,1230
Darfield,2830
Kirwee,1320
Bankside,1760
Charing Cross,920
Halkett,1700
Newtons Road,3490
West Melton,2210
Burnham Camp,1280
Rolleston Izone,40
Rolleston North West,3980
Springston,2230
Rolleston Central,3410
Rolleston North East,4780
Inlets Maketu,0
Maketu,1260
Pukehina Beach,830
Pongakawa,3200
Matua North,2940
Inlet Tauranga Harbour South,0
Mount Maunganui North,3480
Matua South,2600
Bethlehem North,3490
Bellevue,3950
Otumoetai North,4390
Otumoetai South,3910
Brookfield West,3060
Bethlehem Central,4250
Brookfield East,2940
Mount Maunganui South,3030
Tauranga Central,2780
Mount Maunganui Central,360
Judea,2700
Te Reti,1930
Bethlehem South,1120
Omanu Beach,3050
Tauranga Hospital,2160
Tauriko,190
Gate Pa,4210
Greerton South,720
Tauranga South,4990
Arataki North,3200
Matapihi,760
Pyes Pa West,3650
Greerton North,3590
Yatton Park,2770
Pyes Pa North,4810
Arataki South,3010
Pyes Pa South,1480
Poike,820
Te Maunga North,3350
Maungatapu,2990
Hairini,3440
Pyes Pa East,680
Te Maunga South,4280
Kaitemako (Tauranga city),1570
Ohauiti,3380
Baypark-Kairua,620
Welcome Bay West,2910
Welcome Bay East,2650
Pacific View,3130
Welcome Bay South,3570
Palm Beach North,3340
Palm Beach South-Gravatt,3860
Papamoa Beach North,2900
Doncaster,3300
Papamoa Beach South,2820
Motiti,3420
Wairakei,3480
Tui Ridge,1670
Arahiwi,160
Ngongotaha Valley,1630
Hamurana,1060
Ngongotaha East,2000
Ngongotaha West,1570
Inland water Lake Rotorua,0
Ngongotaha South,1460
Selwyn Heights,1180
Pleasant Heights,2140
Rotoiti-Rotoehu,2040
Kawaha,1970
Fairy Springs,1870
Western Heights (Rotorua district),2450
Pukehangi North,2820
Pukehangi South,2660
Mangakakahi Central,110
Koutu,2200
Mangakakahi West,2220
Sunnybrook,2140
Fordlands,2570
Kuirau,1140
Utuhina,1540
Pomare,1770
Rotorua Central,580
Hillcrest (Rotorua district),2000
Victoria,2250
Waiohewa,1060
Glenholme North,2780
Springfield South,2060
Springfield North,1830
Glenholme South,2080
Owhata West,3250
Holdens Bay-Rotokawa,1290
Ngapuna,380
Fenton Park,1800
Tihiotonga-Whakarewarewa,800
Owhata East,3210
Lynmore,3420
Ngakuru,1830
Kaingaroa-Whakarewarewa,1950
Golden Springs,1830
Manawahe,1030
Matata-Otakiri,1800
Onepu Spring,1270
Edgecumbe,1710
Thornton-Awakeri,2390
Te Teko Lakes,1840
Coastlands,1840
Whakatane West,3490
Whakatane Central,3500
Trident,3530
Allandale,2610
Mokorua Bush,1420
Wainui,1570
Ohope,3280
Inlet Ohiwa Harbour West,0
Galatea,1450
Waingarara-Waimana,2450
Murupara,1910
Monika Reserve,3280
Kawerau Industrial,30
Tarawera Park,4150
Inlet Ohiwa Harbour East,0
Waiotahi,1590
Cape Runaway,1510
Woodlands,1080
Opotiki,3930
Otara-Tirohanga,1210
Oponae,340
East Cape,1450
Waipaoa,2030
Ruatoria-Raukumara,1300
Tokomaru,1000
Hangaroa,1580
Wharekaka,1930
Te Arai,1160
Hexton,3030
Lytton,1390
Makaraka-Awapuni,1000
Riverdale,1320
Te Hapara North,2090
Mangapapa North,1480
Elgin,2710
Te Hapara South,2280
